S/T code,S/T name,LGA_code,LGA name,Males,Male_Percent,Females,Female_Percent,Overall,Overall_Percent
1,New South Wales,14550,Kyogle,2559,54.09004439,2689,56.76588558,5248,55.42881284
1,New South Wales,14600,Lachlan,1747,56.37302356,1724,56.56167979,3471,56.46656906
1,New South Wales,14650,Lake Macquarie,65530,60.63662441,65974,59.34034305,131504,59.97929295
1,New South Wales,14700,Lane Cove,14014,68.66242038,14443,68.32395099,28457,68.49021637
1,New South Wales,14750,Leeton,3460,61.09835776,3436,59.57004161,6896,60.32718047
1,New South Wales,14850,Lismore,13427,61.60304643,13509,61.09628692,26936,61.34784886
1,New South Wales,14870,Lithgow,6275,59.74483481,5917,57.89061736,12192,58.83034163
1,New South Wales,14900,Liverpool,82503,66.67232351,82839,66.84445807,165342,66.75845473
1,New South Wales,14920,Liverpool Plains,2239,57.43971267,2207,58.55664633,4446,57.9887831
1,New South Wales,14950,Lockhart,918,53.81008206,962,56.92307692,1880,55.35924617
1,New South Wales,15050,Maitland,29736,63.09892628,30839,63.15455346,60575,63.12723407
1,New South Wales,15240,Mid-Coast,24761,51.38736121,25754,51.79390234,50515,51.59382692
1,New South Wales,15270,Mid-Western,7765,59.03147332,7516,58.87052557,15281,58.95220092
1,New South Wales,15300,Moree Plains,3999,61.45689258,4017,63.10084826,8016,62.26986716
1,New South Wales,15350,Mosman,8484,62.95636687,9746,62.49438923,18230,62.70854116
1,New South Wales,15520,Murray River,3535,52.99850075,3597,54.04146635,7132,53.51943569
1,New South Wales,15560,Murrumbidgee,1121,59.28080381,1062,61.88811189,2183,60.52120876
1,New South Wales,15650,Muswellbrook,5562,63.93838372,5125,63.43606882,10687,63.69650733
1,New South Wales,15700,Nambucca Valley,5369,52.6889107,5783,54.63907785,11152,53.68248773
1,New South Wales,15750,Narrabri,3910,59.57641323,3690,59.60264901,7600,59.5891485
1,New South Wales,15800,Narrandera,1562,54.80701754,1611,56.68543279,3173,55.74490513
1,New South Wales,15850,Narromine,1850,56.67892157,1814,57.06196917,3664,56.86791867
1,New South Wales,15900,Newcastle,59352,68.43149011,58519,66.83150225,117871,67.62768655
1,New South Wales,15950,North Sydney,24222,70.98229985,26916,71.03721298,51138,71.01119227
1,New South Wales,15990,Northern Beaches,85251,64.67228038,86882,63.8364156,172133,64.24767002
1,New South Wales,16100,Oberon,1740,59.26430518,1486,55.78078078,3226,57.60714286
1,New South Wales,16150,Orange,13129,60.61403509,13857,61.3575983,26986,60.99358105
1,New South Wales,16200,Parkes,4286,59.6354529,4105,58.07044844,8391,58.85942761
1,New South Wales,16260,Parramatta,96057,70.74771311,92509,69.36215519,188566,70.06111947
1,New South Wales,16350,Penrith,74042,66.21356966,73942,65.63287769,147984,65.9221411
1,New South Wales,16380,Port Macquarie-Hastings,23867,54.8099667,25387,55.12801025,49254,54.97343631
1,New South Wales,16400,Port Stephens,22094,57.2012945,22211,56.77223117,44305,56.98538869
1,New South Wales,16490,Queanbeyan-Palerang,22129,66.54337694,21373,66.55352806,43502,66.5483639
1,New South Wales,16550,Randwick,50088,71.77165129,50791,70.49214456,100879,71.12168641
1,New South Wales,16610,Richmond Valley,6662,56.48634899,6797,57.06489799,13459,56.77705126
1,New South Wales,16700,Ryde,47259,70.57901104,47678,69.34275783,94937,69.95269533
1,New South Wales,16900,Shellharbour,24362,62.02138493,25369,62.7045331,49731,62.36800522
1,New South Wales,16950,Shoalhaven,30945,56.34354175,30485,55.45449584,61430,55.8988125
