S/T code,S/T name,LGA_code,LGA name,Males,Male_Percent,Females,Female_Percent,Overall,Overall_Percent
5,Western Australia,53710,Goomalling,123,24.5508982,128,26.33744856,251,25.43059777
5,Western Australia,53780,Gosnells,8765,12.58037662,9875,14.59007432,18640,13.57067453
5,Western Australia,53800,Greater Geraldton,3565,17.17492894,3936,18.6037718,7501,17.89616834
5,Western Australia,53920,Halls Creek,121,5.836951278,147,7.125545322,268,6.479690522
5,Western Australia,53990,Harvey,2721,17.71253743,2958,19.17293233,5679,18.4443001
5,Western Australia,54060,Irwin,626,32.84365163,605,31.25,1231,32.04060385
5,Western Australia,54130,Jerramungup,107,16.58914729,98,17.25352113,205,16.90024732
5,Western Australia,54170,Joondalup,14788,17.44567397,16467,19.39781602,31255,18.42246415
5,Western Australia,54200,Kalamunda,5536,17.69764394,6313,20.1121412,11849,18.90697303
5,Western Australia,54280,Kalgoorlie-Boulder,1545,9.429931641,1356,9.422555764,2901,9.426482535
5,Western Australia,54310,Karratha,488,3.672210099,346,3.160394593,834,3.441019928
5,Western Australia,54340,Katanning,362,16.33574007,413,19.91321119,775,18.06526807
5,Western Australia,54410,Kellerberrin,152,25.04118616,160,28.62254025,312,26.75814751
5,Western Australia,54480,Kent,50,16.89189189,23,10.0877193,73,13.93129771
5,Western Australia,54550,Kojonup,229,23.63261094,216,21.64328657,445,22.62328419
5,Western Australia,54620,Kondinin,103,22.39130435,75,18.84422111,178,20.74592075
5,Western Australia,54690,Koorda,56,27.45098039,43,25.74850299,99,26.68463612
5,Western Australia,54760,Kulin,88,22.62210797,82,20.24691358,170,21.41057935
5,Western Australia,54830,Kwinana,2330,8.622603804,2547,10.15509748,4877,9.360305549
5,Western Australia,54900,Lake Grace,128,17.87709497,112,19.14529915,240,18.44734819
5,Western Australia,54970,Laverton,68,6.772908367,33,7.586206897,101,7.01876303
5,Western Australia,55040,Leonora,79,7.335190344,56,8.549618321,135,7.794457275
5,Western Australia,55110,Mandurah,11961,24.93589343,13493,26.29958094,25454,25.64066403
5,Western Australia,55180,Manjimup,1123,23.73203719,1066,22.6519337,2189,23.19347319
5,Western Australia,55250,Meekatharra,79,9.875,44,8.906882591,123,9.505409583
5,Western Australia,55320,Melville,10538,19.63992843,12609,22.21067465,23147,20.96154891
5,Western Australia,55390,Menzies,38,9.112709832,23,14.55696203,61,10.60869565
5,Western Australia,55460,Merredin,343,20.52663076,308,19.28616155,651,19.92044064
5,Western Australia,55530,Mingenew,58,25.2173913,47,25.13368984,105,25.17985612
5,Western Australia,55600,Moora,231,18.85714286,259,22.19365895,490,20.48494983
5,Western Australia,55670,Morawa,81,22.31404959,76,24.05063291,157,23.12223859
5,Western Australia,55740,Mosman Park,910,18.89534884,1013,19.42101227,1923,19.16866029
5,Western Australia,55810,Mount Magnet,63,16.71087533,41,12.65432099,104,14.83594864
5,Western Australia,55880,Mount Marshall,44,17.95918367,39,18.05555556,83,18.00433839
5,Western Australia,55950,Mukinbudin,77,23.05389222,67,25.18796992,144,24
5,Western Australia,56090,Mundaring,4039,18.61204553,4347,22.04361055,8386,20.24576905
5,Western Australia,56160,Murchison,7,12.28070175,5,10.20408163,12,11.32075472
5,Western Australia,56230,Murray,2429,24.57755742,2437,24.51710262,4866,24.5472431
5,Western Australia,56300,Nannup,284,33.68920522,257,32.57287706,541,33.1495098
5,Western Australia,56370,Narembeen,115,25.33039648,93,24.53825858,208,24.969988
5,Western Australia,56460,Narrogin,543,21.81599036,517,20.7297514,1060,21.27232591
5,Western Australia,56580,Nedlands,2333,19.34173437,2560,21.21840033,4893,20.28018403
5,Western Australia,56620,Ngaanyatjarraku,39,5.660377358,53,6.708860759,92,6.220419202
5,Western Australia,56730,Northam,1219,19.66446201,1299,21.67167167,2518,20.65119331
5,Western Australia,56790,Northampton,581,32.36768802,475,30.17789072,1056,31.34461264
5,Western Australia,56860,Nungarin,34,25.37313433,31,25.40983607,65,25.390625
5,Western Australia,56930,Peppermint Grove,165,21.484375,201,20.76446281,366,21.08294931
5,Western Australia,57000,Perenjori,60,15.03759398,43,17.2,103,15.87057011
5,Western Australia,57080,Perth,1816,10.31876811,1681,11.01789343,3497,10.64341368
5,Western Australia,57140,Pingelly,163,29.85347985,165,30.66914498,328,30.25830258
5,Western Australia,57210,Plantagenet,737,25.40503275,658,23.7716763,1395,24.60751455
5,Western Australia,57280,Port Hedland,384,4.194429274,343,4.238754325,727,4.215225836
5,Western Australia,57350,Quairading,163,35.20518359,136,26.66666667,299,30.72970195
5,Western Australia,57420,Ravensthorpe,231,19.17012448,190,17.7238806,421,18.48924023
5,Western Australia,57490,Rockingham,9829,13.27238846,11237,15.02955889,21066,14.15516523
5,Western Australia,57630,Sandstone,27,36,10,24.3902439,37,31.89655172
5,Western Australia,57700,Serpentine-Jarrahdale,1916,10.37526398,1865,10.20687391,3781,10.29151583
5,Western Australia,57770,Shark Bay,126,21.03505843,97,18.30188679,223,19.75199291
5,Western Australia,57840,South Perth,4051,17.44316225,4884,20.80333944,8935,19.13235263
5,Western Australia,57910,Stirling,18094,15.11233609,22969,18.50234814,41063,16.83800042
5,Western Australia,57980,Subiaco,1788,19.61386573,2079,21.31433258,3867,20.49284579
5,Western Australia,58050,Swan,9391,10.93795497,10390,12.1193034,19781,11.52819544
5,Western Australia,58190,Tammin,40,17.54385965,45,25.56818182,85,21.03960396
5,Western Australia,58260,Three Springs,63,20.25723473,45,15.95744681,108,18.21247892
5,Western Australia,58330,Toodyay,715,27.83184118,638,26.75052411,1353,27.31126363
5,Western Australia,58400,Trayning,39,25.32467532,50,33.55704698,89,29.37293729
5,Western Australia,58470,Upper Gascoyne,14,12.38938053,9,10.22727273,23,11.44278607
5,Western Australia,58510,Victoria Park,2547,12.36888112,3158,15.64140664,5705,13.98901476
5,Western Australia,58540,Victoria Plains,106,25.29832936,82,20.24691358,188,22.81553398
5,Western Australia,58570,Vincent,2172,10.6548933,2492,12.62411348,4664,11.62367601
5,Western Australia,58610,Wagin,234,26.89655172,268,28.32980973,502,27.64317181
5,Western Australia,58680,Wandering,77,27.40213523,56,21.21212121,133,24.40366972
5,Western Australia,58760,Wanneroo,12904,11.31711424,15046,13.03632079,27950,12.18194022
5,Western Australia,58820,Waroona,558,25.20325203,516,23.00490415,1074,24.09692618
5,Western Australia,58890,West Arthur,110,25.17162471,82,23.42857143,192,24.39644219
5,Western Australia,59030,Westonia,40,32,33,27.73109244,73,29.91803279
5,Western Australia,59100,Wickepin,91,24.20212766,56,17.23076923,147,20.9700428
5,Western Australia,59170,Williams,116,21.52133581,123,23.6084453,239,22.54716981
5,Western Australia,59250,Wiluna,31,8.516483516,21,10.29411765,52,9.154929577
5,Western Australia,59310,Wongan-Ballidu,173,24.50424929,141,22.38095238,314,23.50299401
5,Western Australia,59320,Woodanilling,59,22.51908397,45,20.73732719,104,21.71189979
5,Western Australia,59330,Wyalkatchem,77,29.38931298,63,27.51091703,140,28.51323829
5,Western Australia,59340,Wyndham-East Kimberley,393,9.622918707,291,7.054545455,684,8.332318187
5,Western Australia,59350,Yalgoo,24,9.917355372,23,20,47,13.16526611
5,Western Australia,59360,Yilgarn,125,17.24137931,92,19.45031712,217,18.11352254
5,Western Australia,59370,York,607,33.07901907,571,32.31465761,1178,32.7040533
6,Tasmania,60210,Break O`Day,1278,34.72826087,1057,31.13402062,2335,33.00353357
6,Tasmania,60410,Brighton,1361,13.9418152,1495,14.60531458,2856,14.28142814
6,Tasmania,60610,Burnie,1861,18.63795694,2066,19.71750334,3927,19.1907345
6,Tasmania,60810,Central Coast (Tas.),2845,24.92771401,3145,26.38865581,5990,25.67399597
6,Tasmania,61010,Central Highlands (Tas.),410,28.77192982,296,25.2991453,706,27.2061657
6,Tasmania,61210,Circular Head,867,19.78548608,821,20.68010076,1688,20.21072797
6,Tasmania,61410,Clarence,5997,19.3214769,7411,22.71570881,13408,21.0608988
6,Tasmania,61510,Derwent Valley,1054,18.44269466,1125,19.99644508,2179,19.21347324
6,Tasmania,61610,Devonport,2903,21.94587239,3303,24.02356535,6206,23.00478185
6,Tasmania,61810,Dorset,904,25.81382067,960,27.4364104,1864,26.62476789
6,Tasmania,62010,Flinders (Tas.),188,39.16666667,165,36.42384106,353,37.83494105
6,Tasmania,62210,George Town,973,26.23348611,961,26.53962994,1934,26.38472033
6,Tasmania,62410,Glamorgan-Spring Bay,1005,36.98932646,882,35,1887,36.03207943
6,Tasmania,62610,Glenorchy,3927,15.67664671,5028,19.52014908,8955,17.62517714
6,Tasmania,62810,Hobart,4595,16.77619569,5582,19.53524183,10177,18.18490458
6,Tasmania,63010,Huon Valley,2258,22.86813855,2179,22.74530271,4437,22.80764881
6,Tasmania,63210,Kentish,867,24.28571429,747,22.90708372,1614,23.62758015
6,Tasmania,63410,King Island,210,23.7020316,171,22.44094488,381,23.11893204
6,Tasmania,63610,Kingborough,4003,20.02501251,4688,22.12468734,8691,21.10541781
6,Tasmania,63810,Latrobe (Tas.),1764,27.26429675,1911,28.98968447,3675,28.13504823
6,Tasmania,64010,Launceston,6139,17.25116619,7402,20.44638418,13541,18.86248398
6,Tasmania,64210,Meander Valley,2503,23.40345956,2698,25.08833922,5201,24.2482167
6,Tasmania,64610,Northern Midlands,1732,24.07227241,1745,24.63297572,3477,24.35044471
6,Tasmania,64810,Sorell,1778,20.47443574,1854,20.71276952,3632,20.59540686
6,Tasmania,65010,Southern Midlands,766,20.97480832,614,18.83435583,1380,19.96527778
6,Tasmania,65210,Tasman,509,35.61931421,413,32.85600636,922,34.32613552
6,Tasmania,65410,Waratah-Wynyard,1819,25.0068738,1975,26.35793407,3794,25.69242229
6,Tasmania,65610,West Coast,519,22.51626898,451,21.95715677,970,22.25281028
6,Tasmania,65810,West Tamar,3034,23.43581029,3172,24.22668602,6206,23.83348055
7,Northern Territory,70200,Alice Springs,1367,9.747575585,1487,9.78997959,2854,9.769623113
7,Northern Territory,70420,Barkly,274,7.608997501,256,7.036833425,530,7.321453239
7,Northern Territory,70540,Belyuen,6,7.5,3,3.488372093,9,5.421686747
7,Northern Territory,70620,Central Desert,115,5.547515678,155,7.549926936,270,6.543868153
7,Northern Territory,70700,Coomalie,207,26.91807542,149,22.85276074,356,25.05277973
7,Northern Territory,71000,Darwin,4967,11.48704903,4749,11.24689165,9716,11.36839642
7,Northern Territory,71150,Darwin Waterfront Precinct,18,12.08053691,15,11.27819549,33,11.70212766
7,Northern Territory,71300,East Arnhem,202,4.128346618,236,4.611176241,438,4.375187294
7,Northern Territory,72200,Katherine,558,10.00537924,434,8.26351866,992,9.160587312
7,Northern Territory,72300,Litchfield,1672,12.94819174,1356,12.91182632,3028,12.93188127
7,Northern Territory,72330,MacDonnell,122,3.502727534,206,6.391560658,328,4.891142261
7,Northern Territory,72800,Palmerston,1339,6.492750812,1395,6.808199122,2734,6.649964731
7,Northern Territory,73600,Roper Gulf,260,6.922257721,234,6.265060241,494,6.594580163
7,Northern Territory,74050,Tiwi Islands,69,5.231235785,81,5.672268908,150,5.460502366
7,Northern Territory,74550,Victoria Daly,104,6.268836649,145,8.863080685,249,7.556904401
7,Northern Territory,74560,Wagait,64,27.11864407,54,23.68421053,118,25.43103448
7,Northern Territory,74660,West Arnhem,133,3.594594595,149,4.019422714,282,3.807209397
7,Northern Territory,74680,West Daly,49,2.850494474,90,5.272407733,139,4.057209574
7,Northern Territory,79399,Unincorporated NT,380,9.483404043,250,6.745817593,630,8.168028005
8,Australian Capital Territory,89399,Unincorporated ACT,28785,12.49777484,35139,14.87396559,63924,13.70095549
9,Other Territories,99399,Unincorp. Other Territories,322,26.30718954,359,27.78637771,681,27.06677266
